"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZL_sample_14","Зразок №14 (не налаштовано)","Sample #14 (not configured)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)","Зразок №14 (не налаштовано)",
"STR_OZL_sample_14_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_15","Зразок №15 (не налаштовано)","Sample #15 (not configured)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)","Зразок №15 (не налаштовано)",
"STR_OZL_sample_15_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_16","Зразок №16 (не налаштовано)","Sample #16 (not configured)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)","Зразок №16 (не налаштовано)",
"STR_OZL_sample_16_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_17","Зразок №17 (не налаштовано)","Sample #17 (not configured)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)","Зразок №17 (не налаштовано)",
"STR_OZL_sample_17_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_18","Зразок №18 (не налаштовано)","Sample #18 (not configured)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)","Зразок №18 (не налаштовано)",
"STR_OZL_sample_18_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_19","Зразок №19 (не налаштовано)","Sample #19 (not configured)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)","Зразок №19 (не налаштовано)",
"STR_OZL_sample_19_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_20","Зразок №20 (не налаштовано)","Sample #20 (not configured)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)","Зразок №20 (не налаштовано)",
"STR_OZL_sample_20_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_21","Зразок №21 (не налаштовано)","Sample #21 (not configured)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)","Зразок №21 (не налаштовано)",
"STR_OZL_sample_21_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_22","Зразок №22 (не налаштовано)","Sample #22 (not configured)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)","Зразок №22 (не налаштовано)",
"STR_OZL_sample_22_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_23","Зразок №23 (не налаштовано)","Sample #23 (not configured)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)","Зразок №23 (не налаштовано)",
"STR_OZL_sample_23_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_24","Зразок №24 (не налаштовано)","Sample #24 (not configured)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)","Зразок №24 (не налаштовано)",
"STR_OZL_sample_24_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_25","Зразок №25 (не налаштовано)","Sample #25 (not configured)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)","Зразок №25 (не налаштовано)",
"STR_OZL_sample_25_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_26","Зразок №26 (не налаштовано)","Sample #26 (not configured)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)","Зразок №26 (не налаштовано)",
"STR_OZL_sample_26_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_27","Зразок №27 (не налаштовано)","Sample #27 (not configured)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)","Зразок №27 (не налаштовано)",
"STR_OZL_sample_27_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_28","Зразок №28 (не налаштовано)","Sample #28 (not configured)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)","Зразок №28 (не налаштовано)",
"STR_OZL_sample_28_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
